company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Special Olympics World Games Berlin 2023,berlin2023.org,Berlin,,Germany,95,http://www.linkedin.com/company/berlin2023,,Sports,28,15200000,1,,,,,,,https://www.growjo.com/company/Special_Olympics_World_Games_Berlin_2023,https://www.indeed.com/jobs?q=company%3A(Special Olympics World Games Berlin 2023),164%,For Contact Direct Phone Numbers and Emails see Lead411
Beechcraft Berlin Aviation GmbH,bba.aero,Berlin-SchÃ¶nefeld,,Germany,143,http://www.linkedin.com/company/beechcraft-berlin,1991,Aviation,29,38695800,1,,,,,,,https://www.growjo.com/company/Beechcraft_Berlin_Aviation_GmbH,https://www.indeed.com/jobs?q=company%3A(Beechcraft Berlin Aviation GmbH),160%,For Contact Direct Phone Numbers and Emails see Lead411
AWO Bundesverband e.V.,awo.org,Berlin,,Germany,190,http://www.linkedin.com/company/arbeiterwohlfahrt-awo-bundesverband,1919,Civil,30,67507000,1,,,,,,,https://www.growjo.com/company/AWO_Bundesverband_e.V.,https://www.indeed.com/jobs?q=company%3A(AWO Bundesverband e.V.),150%,For Contact Direct Phone Numbers and Emails see Lead411
Grover,grover.com,Berlin,,Germany,500,http://www.linkedin.com/company/grover,2015,Tech Services,31,76006000,1,,Energy Impact Partners,,,1000000000,,https://www.growjo.com/company/Grover,https://www.indeed.com/jobs?q=company%3A(Grover),102%,For Contact Direct Phone Numbers and Emails see Lead411
LINUS Digital Finance,linus-finance.com,Berlin,,Germany,94,http://www.linkedin.com/company/linus-digital-finance,2016,Investments,32,21338000,1,,,,,,,https://www.growjo.com/company/LINUS_Digital_Finance,https://www.indeed.com/jobs?q=company%3A(LINUS Digital Finance),135%,For Contact Direct Phone Numbers and Emails see Lead411
Plan A,plana.earth,Berlin,,Germany,99,http://www.linkedin.com/company/planaearth,2017,SaaS,33,7812000,1,,,,,,,https://www.growjo.com/company/Plan_A,https://www.indeed.com/jobs?q=company%3A(Plan A),183%,For Contact Direct Phone Numbers and Emails see Lead411
Heimstaden Deutschland,heimstaden.de,Berlin,,Germany,52,http://www.linkedin.com/company/heimstadendeutschland,1998,Real Estate,34,7020000,1,,,,,,,https://www.growjo.com/company/Heimstaden_Deutschland,https://www.indeed.com/jobs?q=company%3A(Heimstaden Deutschland),174%,For Contact Direct Phone Numbers and Emails see Lead411
Peekd,peekd.ai,Berlin,,Germany,49,http://www.linkedin.com/company/peekd,2017,Research,35,3998400,1,,,,,,,https://www.growjo.com/company/Peekd,https://www.indeed.com/jobs?q=company%3A(Peekd),172%,For Contact Direct Phone Numbers and Emails see Lead411
hype.partners,hype.partners,Berlin,,Germany,86,http://www.linkedin.com/company/hype-partners,2017,Marketing,36,12825000,1,,,,,,,https://www.growjo.com/company/hype.partners,https://www.indeed.com/jobs?q=company%3A(hype.partners),126%,For Contact Direct Phone Numbers and Emails see Lead411
Flexcavo,flexcavo.de,Berlin,,Germany,49,http://www.linkedin.com/company/flexcavo,2020,Construction,37,14094000,1,,,,,,,https://www.growjo.com/company/Flexcavo,https://www.indeed.com/jobs?q=company%3A(Flexcavo),88%,For Contact Direct Phone Numbers and Emails see Lead411
UPPER,upper.co,Berlin,,Germany,76,http://www.linkedin.com/company/upper-technologies,2019,Tech Services,38,5336000,1,,,,,,,https://www.growjo.com/company/UPPER,https://www.indeed.com/jobs?q=company%3A(UPPER),111%,For Contact Direct Phone Numbers and Emails see Lead411
FactoryPal,factorypal.com,Berlin,,Germany,71,http://www.linkedin.com/company/factorypal,2020,Tech Services,39,9265500,1,,,,,,,https://www.growjo.com/company/FactoryPal,https://www.indeed.com/jobs?q=company%3A(FactoryPal),109%,For Contact Direct Phone Numbers and Emails see Lead411
BRYTER,bryter.io,Berlin,,Germany,245,http://www.linkedin.com/company/brytergmbh,2018,Tech Services,40,41470000,1,,,,,,,https://www.growjo.com/company/BRYTER,https://www.indeed.com/jobs?q=company%3A(BRYTER),48%,For Contact Direct Phone Numbers and Emails see Lead411
Changemakerxchange,changemakerxchange.org,Berlin,,Germany,115,http://www.linkedin.com/company/changemakerxchange,2012,Civil,41,37145000,1,,,,,,,https://www.growjo.com/company/Changemakerxchange,https://www.indeed.com/jobs?q=company%3A(Changemakerxchange),109%,For Contact Direct Phone Numbers and Emails see Lead411
AvenDATA,avendata.com,Berlin,,Germany,127,http://www.linkedin.com/company/avendata-technologies-gmbh,2003,Tech Services,42,18415000,1,,,,,,,https://www.growjo.com/company/AvenDATA,https://www.indeed.com/jobs?q=company%3A(AvenDATA),108%,For Contact Direct Phone Numbers and Emails see Lead411
RIDE Capital,ride.capital,Berlin,,Germany,51,http://www.linkedin.com/company/ridecapital,2018,Finance,43,7728000,1,,,,,,,https://www.growjo.com/company/RIDE_Capital,https://www.indeed.com/jobs?q=company%3A(RIDE Capital),89%,For Contact Direct Phone Numbers and Emails see Lead411
HeyJobs,heyjobs.co,Berlin,,Germany,367,http://www.linkedin.com/company/heyjobs,2016,Tech Services,44,45298000,7,,,,,,,https://www.growjo.com/company/HeyJobs,https://www.indeed.com/jobs?q=company%3A(HeyJobs),120%,For Contact Direct Phone Numbers and Emails see Lead411
NTT Global Data Centers EMEA,e-shelter.de,Berlin,,Germany,320,http://www.linkedin.com/company/ntt-global-data-centers-emea,2000,Tech Services,45,58000000,1,,,,,,,https://www.growjo.com/company/NTT_Global_Data_Centers_EMEA,https://www.indeed.com/jobs?q=company%3A(NTT Global Data Centers EMEA),106%,For Contact Direct Phone Numbers and Emails see Lead411
Elli - A Brand of the Volkswagen Group,elli.eco,Berlin,,Germany,201,http://www.linkedin.com/company/elli-vw,2018,Consumer,46,52459000,1,,,,,,,https://www.growjo.com/company/Elli_-_A_Brand_of_the_Volkswagen_Group,https://www.indeed.com/jobs?q=company%3A(Elli - A Brand of the Volkswagen Group),107%,For Contact Direct Phone Numbers and Emails see Lead411
cargo.one,cargo.one,Berlin,,Germany,124,http://www.linkedin.com/company/cargoone,2017,Logistics,47,41785000,1,,,,,,,https://www.growjo.com/company/cargo.one,https://www.indeed.com/jobs?q=company%3A(cargo.one),55%,For Contact Direct Phone Numbers and Emails see Lead411
everphone GmbH,everphone.de,Berlin,,Germany,222,http://www.linkedin.com/company/everphone-gmbh,2016,Tech Services,48,27912500,1,,,,,,,https://www.growjo.com/company/everphone_GmbH,https://www.indeed.com/jobs?q=company%3A(everphone GmbH),68%,For Contact Direct Phone Numbers and Emails see Lead411
ROBUR Wind GmbH,robur-wind.com,Berlin,,Germany,146,http://www.linkedin.com/company/robur-wind-gmbh,2019,Environmental,49,22680000,1,,,,,,,https://www.growjo.com/company/ROBUR_Wind_GmbH,https://www.indeed.com/jobs?q=company%3A(ROBUR Wind GmbH),27%,For Contact Direct Phone Numbers and Emails see Lead411
Mushlabs,mushlabs.com,Berlin,,Germany,51,http://www.linkedin.com/company/mushlabs,2018,Biotech,50,7905000,1,,,,,,,https://www.growjo.com/company/Mushlabs,https://www.indeed.com/jobs?q=company%3A(Mushlabs),132%,For Contact Direct Phone Numbers and Emails see Lead411
Muson,muson.com,Berlin,,Germany,39,http://www.linkedin.com/company/muson,2018,Museums,51,,1,,,,,,,https://www.growjo.com/company/Muson,https://www.indeed.com/jobs?q=company%3A(Muson),129%,For Contact Direct Phone Numbers and Emails see Lead411
Caronsale,caronsale.de,Berlin,,Germany,144,http://www.linkedin.com/company/caronsale,,Automotive,52,43890000,1,,,,,,,https://www.growjo.com/company/Caronsale,https://www.indeed.com/jobs?q=company%3A(Caronsale),115%,For Contact Direct Phone Numbers and Emails see Lead411
Greentech Alliance,greentech.earth,Berlin,,Germany,157,http://www.linkedin.com/company/greentechearth,2020,Environmental,53,33495000,1,,,,,,,https://www.growjo.com/company/Greentech_Alliance,https://www.indeed.com/jobs?q=company%3A(Greentech Alliance),83%,For Contact Direct Phone Numbers and Emails see Lead411
elopage.com,elopage.com,Berlin,,Germany,140,http://www.linkedin.com/company/elopage,2014,Tech Services,54,16240000,1,,,,,,,https://www.growjo.com/company/elopage.com,https://www.indeed.com/jobs?q=company%3A(elopage.com),94%,For Contact Direct Phone Numbers and Emails see Lead411
Hashtag You,hashtag-you.com,Berlin,,Germany,73,http://www.linkedin.com/company/hashtag-you,2018,Manufacturing,55,,1,,,,,,,https://www.growjo.com/company/Hashtag_You,https://www.indeed.com/jobs?q=company%3A(Hashtag You),92%,For Contact Direct Phone Numbers and Emails see Lead411
numa (formerly COSI),numastays.com,Berlin,,Germany,237,http://www.linkedin.com/company/numa-stays,2019,Hospitality,56,66217800,1,,,,,,,https://www.growjo.com/company/numa_(formerly_COSI),https://www.indeed.com/jobs?q=company%3A(numa (formerly COSI)),93%,For Contact Direct Phone Numbers and Emails see Lead411
zolar,zolar.de,Berlin,,Germany,257,http://www.linkedin.com/company/zolar-gmbh,2016,Environmental,57,55440000,1,,,,,,,https://www.growjo.com/company/zolar,https://www.indeed.com/jobs?q=company%3A(zolar),66%,For Contact Direct Phone Numbers and Emails see Lead411
LiveEO,live-eo.com,Berlin,,Germany,84,http://www.linkedin.com/company/liveeo,2017,AI,58,10640000,1,,,,,,,https://www.growjo.com/company/LiveEO,https://www.indeed.com/jobs?q=company%3A(LiveEO),65%,For Contact Direct Phone Numbers and Emails see Lead411
OMR,omr.com,Berlin,,Germany,416,http://www.linkedin.com/company/omrockstars,2010,Marketing,59,96875000,1,,,,,,,https://www.growjo.com/company/OMR,https://www.indeed.com/jobs?q=company%3A(OMR),24%,For Contact Direct Phone Numbers and Emails see Lead411
krisenchat,krisenchat.de,Berlin,,Germany,55,http://www.linkedin.com/company/krisenchat,2020,Hospital/Healthcare,60,13365000,1,,,,,,,https://www.growjo.com/company/krisenchat,https://www.indeed.com/jobs?q=company%3A(krisenchat),120%,For Contact Direct Phone Numbers and Emails see Lead411
FourEnergy GmbH,fourenergy.de,Berlin,,Germany,75,http://www.linkedin.com/company/fourenergy,2015,IT Services and IT Consulting,61,,1,,,,,,,https://www.growjo.com/company/FourEnergy_GmbH,https://www.indeed.com/jobs?q=company%3A(FourEnergy GmbH),88%,For Contact Direct Phone Numbers and Emails see Lead411
SPREAD,spread.ai,Berlin,,Germany,46,http://www.linkedin.com/company/spread-ai,,Tech Services,62,5336000,1,,,,,,,https://www.growjo.com/company/SPREAD,https://www.indeed.com/jobs?q=company%3A(SPREAD),119%,For Contact Direct Phone Numbers and Emails see Lead411
Lendis,lendis.io,Berlin,,Germany,126,http://www.linkedin.com/company/lendis,2018,Tech Services,63,14935000,1,,,,,,,https://www.growjo.com/company/Lendis,https://www.indeed.com/jobs?q=company%3A(Lendis),52%,For Contact Direct Phone Numbers and Emails see Lead411
Productsup,productsup.com,Berlin,,Germany,285,http://www.linkedin.com/company/productsup,2010,Tech Services,64,41629500,1,SaaS,,,,,,https://www.growjo.com/company/Productsup,https://www.indeed.com/jobs?q=company%3A(Productsup),58%,For Contact Direct Phone Numbers and Emails see Lead411
Staffus GmbH,staffus.com,Berlin,,Germany,78,http://www.linkedin.com/company/staffus-gmbh,2020,Recruiting,65,9360000,1,,,,,,,https://www.growjo.com/company/Staffus_GmbH,https://www.indeed.com/jobs?q=company%3A(Staffus GmbH),86%,For Contact Direct Phone Numbers and Emails see Lead411
Choco,choco.com,Berlin,,Germany,454,http://www.linkedin.com/company/choco-app,2018,Food,66,71734000,1,,G Squared alongside Insight Partners,,,1200000000,,https://www.growjo.com/company/Choco,https://www.indeed.com/jobs?q=company%3A(Choco),105%,For Contact Direct Phone Numbers and Emails see Lead411
Spryker,spryker.com,Berlin,,Germany,489,http://www.linkedin.com/company/spryker-systems-gmbh,2014,eCommerceTech,67,85575000,1,saas,,,,,,https://www.growjo.com/company/Spryker,https://www.indeed.com/jobs?q=company%3A(Spryker),93%,For Contact Direct Phone Numbers and Emails see Lead411
zeotap,zeotap.com,Berlin,,Germany,221,http://www.linkedin.com/company/zeotap,2014,Martech,68,33260500,1,saas,,,,,$92.2M,https://www.growjo.com/company/zeotap,https://www.indeed.com/jobs?q=company%3A(zeotap),10%,For Contact Direct Phone Numbers and Emails see Lead411
NOW GmbH,now-gmbh.de,Berlin,,Germany,112,http://www.linkedin.com/company/now-gmbh,2008,Environmental,69,23520000,1,,,,,,,https://www.growjo.com/company/NOW_GmbH,https://www.indeed.com/jobs?q=company%3A(NOW GmbH),81%,For Contact Direct Phone Numbers and Emails see Lead411
Bitwala,bitwala.com,Berlin,,Germany,297,http://www.linkedin.com/company/bitwala,2015,Fintech,70,42471000,1,"Bitcoin, Fin Tech",,,,,,https://www.growjo.com/company/Bitwala,https://www.indeed.com/jobs?q=company%3A(Bitwala),80%,For Contact Direct Phone Numbers and Emails see Lead411
Least Authority,leastauthority.com,Berlin,,Germany,54,http://www.linkedin.com/company/leastauthority,2016,Fintech,71,6318000,1,,,,,,,https://www.growjo.com/company/Least_Authority,https://www.indeed.com/jobs?q=company%3A(Least Authority),108%,For Contact Direct Phone Numbers and Emails see Lead411
consus clinicmanagement GmbH,consus-clinicmanagement.de,Berlin,,Germany,88,http://www.linkedin.com/company/consus-clinicmanagement-gmbh,2012,Hospital/Healthcare,72,23760000,1,,,,,,,https://www.growjo.com/company/consus_clinicmanagement_GmbH,https://www.indeed.com/jobs?q=company%3A(consus clinicmanagement GmbH),76%,For Contact Direct Phone Numbers and Emails see Lead411
KoRo,korodrogerie.de,Berlin,,Germany,257,http://www.linkedin.com/company/koro-drogerie,2016,Food,73,75438000,1,,,,,,,https://www.growjo.com/company/KoRo,https://www.indeed.com/jobs?q=company%3A(KoRo),63%,For Contact Direct Phone Numbers and Emails see Lead411
Labforward,labforward.io,Berlin,,Germany,72,http://www.linkedin.com/company/labforward,,Tech Services,74,7960500,1,,,,,,,https://www.growjo.com/company/Labforward,https://www.indeed.com/jobs?q=company%3A(Labforward),47%,For Contact Direct Phone Numbers and Emails see Lead411
The Mentoring Club,mentoring-club.com,Berlin,,Germany,161,http://www.linkedin.com/company/mentoring-club,2020,Training,75,29221500,1,,,,,,,https://www.growjo.com/company/The_Mentoring_Club,https://www.indeed.com/jobs?q=company%3A(The Mentoring Club),75%,For Contact Direct Phone Numbers and Emails see Lead411
Habyt,habyt.com,Berlin,,Germany,98,http://www.linkedin.com/company/habythq,2017,Digital Health,76,12600000,1,,,,,,,https://www.growjo.com/company/Habyt,https://www.indeed.com/jobs?q=company%3A(Habyt),27%,For Contact Direct Phone Numbers and Emails see Lead411
FRAMEN,framen.com,Berlin,,Germany,54,http://www.linkedin.com/company/framen,2018,Tech Services,77,7047000,1,,,,,,,https://www.growjo.com/company/FRAMEN,https://www.indeed.com/jobs?q=company%3A(FRAMEN),100%,For Contact Direct Phone Numbers and Emails see Lead411
Charles - Conversational Commerce,hello-charles.com,Berlin,,Germany,61,http://www.linkedin.com/company/charles,2019,Tech Services,78,4176000,1,,,,,,,https://www.growjo.com/company/Charles_-_Conversational_Commerce,https://www.indeed.com/jobs?q=company%3A(Charles - Conversational Commerce),135%,For Contact Direct Phone Numbers and Emails see Lead411
YPOG,ypog.law,Berlin,,Germany,159,http://www.linkedin.com/company/ypog,2017,Legal,79,47223000,1,,,,,,,https://www.growjo.com/company/YPOG,https://www.indeed.com/jobs?q=company%3A(YPOG),73%,For Contact Direct Phone Numbers and Emails see Lead411
PlaytestCloud,playtestcloud.com,Berlin,,Germany,208,http://www.linkedin.com/company/playtestcloud,2012,Gaming,80,41995800,1,,,,,,,https://www.growjo.com/company/PlaytestCloud,https://www.indeed.com/jobs?q=company%3A(PlaytestCloud),25%,For Contact Direct Phone Numbers and Emails see Lead411
Enpal GmbH,enpal.de,Berlin,,Germany,627,http://www.linkedin.com/company/enpal-gmbh,2017,Environmental,81,164587500,1,,,,,,,https://www.growjo.com/company/Enpal_GmbH,https://www.indeed.com/jobs?q=company%3A(Enpal GmbH),86%,For Contact Direct Phone Numbers and Emails see Lead411
coconad GmbH,coconad.de,Berlin,,Germany,53,http://www.linkedin.com/company/coconad,2020,Marketing,82,11925000,1,,,,,,,https://www.growjo.com/company/coconad_GmbH,https://www.indeed.com/jobs?q=company%3A(coconad GmbH),96%,For Contact Direct Phone Numbers and Emails see Lead411
felmo,felmo.de,Berlin,,Germany,107,http://www.linkedin.com/company/felmo-gmbh,2019,Veterinary,83,,1,,,,,,,https://www.growjo.com/company/felmo,https://www.indeed.com/jobs?q=company%3A(felmo),110%,For Contact Direct Phone Numbers and Emails see Lead411
ecolytiq - Every transaction has an impact,ecolytiq.com,Berlin,,Germany,33,http://www.linkedin.com/company/ecolytiq,2020,Tech Services,84,3828000,1,,,,,,,https://www.growjo.com/company/ecolytiq_-_Every_transaction_has_an_impact,https://www.indeed.com/jobs?q=company%3A(ecolytiq - Every transaction has an impact),94%,For Contact Direct Phone Numbers and Emails see Lead411
actio,actio.com,Berlin,,Germany,75,http://www.linkedin.com/company/actiodaily,2019,Training,85,11137500,1,,,,,,,https://www.growjo.com/company/actio,https://www.indeed.com/jobs?q=company%3A(actio),67%,For Contact Direct Phone Numbers and Emails see Lead411
ToolTime,tooltime.de,Berlin,,Germany,68,http://www.linkedin.com/company/tooltimegmbh,2019,Tech Services,86,8874000,1,,,,,,,https://www.growjo.com/company/ToolTime,https://www.indeed.com/jobs?q=company%3A(ToolTime),66%,For Contact Direct Phone Numbers and Emails see Lead411
we22 Solutions GmbH,we22.com,Berlin,,Germany,67,http://www.linkedin.com/company/we22-solutions,,Software Development,87,8442000,1,,,,,,,https://www.growjo.com/company/we22_Solutions_GmbH,https://www.indeed.com/jobs?q=company%3A(we22 Solutions GmbH),63%,For Contact Direct Phone Numbers and Emails see Lead411
EIGENSONNE,eigensonne.de,Berlin,,Germany,145,http://www.linkedin.com/company/eigensonne,2017,Environmental,88,24780000,1,,,,,,,https://www.growjo.com/company/EIGENSONNE,https://www.indeed.com/jobs?q=company%3A(EIGENSONNE),84%,For Contact Direct Phone Numbers and Emails see Lead411
Juicy Fields,juicyfields.io,Berlin,,Germany,74,http://www.linkedin.com/company/juicy-fields,2020,Recreation,89,,1,,,,,,,https://www.growjo.com/company/Juicy_Fields,https://www.indeed.com/jobs?q=company%3A(Juicy Fields),68%,For Contact Direct Phone Numbers and Emails see Lead411
Küchenheld,kuechenheld.de,Berlin,,Germany,69,http://www.linkedin.com/company/kuechenheld,2018,Furniture,90,19114200,1,,,,,,,https://www.growjo.com/company/Küchenheld,https://www.indeed.com/jobs?q=company%3A(Küchenheld),33%,For Contact Direct Phone Numbers and Emails see Lead411
