company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Granny,granny.co,Berlin,,Germany,72,http://www.linkedin.com/company/granny-gmbh,2016,Marketing,91,16200000,1,,,,,,,https://www.growjo.com/company/Granny,https://www.indeed.com/jobs?q=company%3A(Granny),60%,For Contact Direct Phone Numbers and Emails see Lead411
DrSmile,drsmile.de,Berlin,,Germany,388,http://www.linkedin.com/company/drsmile,2016,Medical Equip,92,96384000,1,,,,,,,https://www.growjo.com/company/DrSmile,https://www.indeed.com/jobs?q=company%3A(DrSmile),25%,For Contact Direct Phone Numbers and Emails see Lead411
jodel,jodel.com,Berlin,,Germany,106,http://www.linkedin.com/company/jodel-app,2014,Telecom,93,37375000,1,,,,,,,https://www.growjo.com/company/jodel,https://www.indeed.com/jobs?q=company%3A(jodel),36%,For Contact Direct Phone Numbers and Emails see Lead411
expertlead,expertlead.com,Berlin,,Germany,125,http://www.linkedin.com/company/expertlead_berlin,,Tech Services,94,20155000,1,,,,,,,https://www.growjo.com/company/expertlead,https://www.indeed.com/jobs?q=company%3A(expertlead),26%,For Contact Direct Phone Numbers and Emails see Lead411
mymoria,mymoria.de,Berlin,,Germany,40,http://www.linkedin.com/company/mymoria-gmbh,2015,Fintech,95,4160000,1,,,,,,,https://www.growjo.com/company/mymoria,https://www.indeed.com/jobs?q=company%3A(mymoria),82%,For Contact Direct Phone Numbers and Emails see Lead411
Kontist,kontist.com,Berlin,,Germany,146,http://www.linkedin.com/company/kontist,2016,Banking,96,27930000,1,,,,,,,https://www.growjo.com/company/Kontist,https://www.indeed.com/jobs?q=company%3A(Kontist),46%,For Contact Direct Phone Numbers and Emails see Lead411
magaloop,magaloop.com,Berlin,,Germany,58,http://www.linkedin.com/company/magaloop,2018,Tech Services,97,5452000,1,,,,,,,https://www.growjo.com/company/magaloop,https://www.indeed.com/jobs?q=company%3A(magaloop),41%,For Contact Direct Phone Numbers and Emails see Lead411
share,share.eu,Berlin,,Germany,145,http://www.linkedin.com/company/shareberlin,2017,Consumer,98,32379000,1,,,,,,,https://www.growjo.com/company/share,https://www.indeed.com/jobs?q=company%3A(share),45%,For Contact Direct Phone Numbers and Emails see Lead411
Phiture - Mobile Growth Consultancy,phiture.com,Berlin,,Germany,157,http://www.linkedin.com/company/phiture,2016,Martech,99,19460000,1,"App Stores, App Marketing, Marketing, Digital Marketing",,,,,,https://www.growjo.com/company/Phiture_-_Mobile_Growth_Consultancy,https://www.indeed.com/jobs?q=company%3A(Phiture - Mobile Growth Consultancy),39%,For Contact Direct Phone Numbers and Emails see Lead411
Anytype,anytype.io,Berlin,,Germany,93,http://www.linkedin.com/company/anytype,2018,Tech Services,100,13485000,1,,,,,,,https://www.growjo.com/company/Anytype,https://www.indeed.com/jobs?q=company%3A(Anytype),55%,For Contact Direct Phone Numbers and Emails see Lead411
